method,agieval_lsat_ar,arc_challenge,arc_easy,coqa,gsm8k,hellaswag,jeopardy,lambada_openai,mbpp,mmlu,piqa,social_iqa,squadv2,winogrande,average
kimi_k2_base,0.2391304347826087,0.7184300341296929,0.8905723905723906,0.7691027618478133,,0.9047998406691894,0.7974,,,0.8879958385278088,0.8764961915125136,,0.9374607453279171,,0.7801542485966595
nemotron3_120b_a12b,0.26521739130434785,0.712457337883959,0.9023569023569024,0.8049397008977076,0.9378316906747536,0.8670583549093805,0.7638,0.4989326605860664,0.7485999999999999,0.8667661469225012,0.8487486398258978,0.5148413510747185,0.9429560125012452,0.7576953433307024,0.7451572523048702
llama3_1_70b,0.25217391304347825,0.7005119453924915,0.8998316498316499,0.8463937855959869,0.8142532221379833,0.8783110934076878,0.7703,0.5028138948185523,0.6445,0.80290512440855,0.8628944504896626,0.5076765609007164,0.9303231611699139,0.8524072612470402,0.7332354330316938
glm_4_5_base,0.30434782608695654,0.7047781569965871,0.8935185185185185,0.3574004068023393,0.8142532221379833,0.9010157339175463,0.7887,0.4863186493304871,0.8484000000000002,0.8800478723133173,0.8699673558215452,0.5133060388945753,0.9400285478580158,0.852670349907919,0.7253394770418422
olmo_3_1125_32b@step679842,0.23043478260869565,0.6834470989761092,0.9019360269360269,0.9008230703622696,0.8961334344200151,0.8498307110137423,0.645,0.4853483407723656,0.6108,0.7761633334031556,0.8378672470076169,0.5655066530194472,0.9221678470718073,0.8066298342541437,0.7222920271318138
olmo_3_1125_32b,0.2608695652173913,0.6791808873720137,0.8977272727272727,0.8739438765713531,0.8097043214556482,0.835291774546903,0.6836,0.49388705608383465,0.6336,0.7736574441376272,0.8351468988030468,0.563971340839304,0.9450775715824632,0.8018942383583267,0.7205394462639418
olmo_3_1125_32b@step690842,0.2565217391304348,0.6791808873720137,0.8994107744107744,0.8682589404139199,0.8203184230477635,0.8356901015733917,0.6838,0.4975742286046963,0.6228,0.7729272366665584,0.8346028291621328,0.5634595701125895,0.943777914129105,0.8026835043409629,0.7200718677831673
olmo_3_1125_32b@step691763,0.25217391304347825,0.6834470989761092,0.898989898989899,0.8707890431137139,0.8074298711144806,0.8353913563035252,0.6833,0.4913642538327188,0.6277999999999998,0.7737724144959147,0.8346028291621328,0.5655066530194472,0.9458156266957253,0.7987371744277821,0.719222866655352
trinity_large_tb,0.25217391304347825,0.6732081911262798,0.8724747474747475,0.8174879857374436,0.796057619408643,0.873132842063334,0.7497,0.4806908596933825,0.6297999999999999,0.8063892710513503,0.8721436343852013,0.48311156601842375,0.9535811097584549,0.7920284135753749,0.717998582381151
mistral_small_24b,0.2826086956521739,0.6689419795221843,0.8897306397306397,0.8295413942691263,0.8028809704321456,0.8539135630352519,0.7306,0.490199883562973,0.6105,0.817445850467928,0.8438520130576714,0.4672466734902764,0.9251845784530776,0.8208366219415943,0.7166773474010746
nemotron3_30b_a3b,0.18695652173913044,0.6672354948805461,0.8968855218855218,0.7939519750832942,0.8635329795299469,0.8554072893845848,0.702,0.49117019212109453,0.6753125,0.7985065655268582,0.8476605005440696,0.5040941658137155,0.9396353968181957,0.7971586424625099,0.7156791246992477
olmo_3_1125_32b@step688842,0.2782608695652174,0.6715017064846417,0.9023569023569024,0.8677647339576503,0.8013646702047005,0.8329018123879706,0.6724,0.4801086745585096,0.6084,0.7694413768219217,0.8275299238302503,0.5670419651995906,0.9382870388552113,0.7995264404104183,0.7154918653309273
olmo_3_1125_32b_ingredient1@step679842,0.21739130434782608,0.6697952218430034,0.8922558922558923,0.8910799752051725,0.8506444275966641,0.8354909380601474,0.6837,0.48864738986997863,0.5932,0.7666085271874836,0.8324265505984766,0.5624360286591606,0.9238211397339245,0.8066298342541437,0.7152948021151339
olmo_3_1125_32b_ingredient1@step676000,0.2391304347826087,0.6680887372013652,0.8939393939393939,0.8885013217423251,0.8339651250947687,0.8332005576578371,0.6805,0.4880652047351058,0.5952,0.7610562424469357,0.8280739934711643,0.563971340839304,0.9219842381930176,0.8034727703235991,0.7142249543162447
olmo_3_1125_32b_ingredient2@step679842,0.22608695652173913,0.6621160409556314,0.8930976430976431,0.8976681620075286,0.8711144806671721,0.8388767177853017,0.6322,0.4865127110421114,0.604,0.7676442079967517,0.8351468988030468,0.5358239508700102,0.9264742670823364,0.8050513022888713,0.7129866670798675
olmo_3_1125_32b_ingredient2@step676000,0.23043478260869565,0.6689419795221843,0.8888888888888888,0.8748520743400664,0.869598180439727,0.838478390758813,0.6597,0.47680962546089656,0.6098,0.7606165850388257,0.8346028291621328,0.5399181166837257,0.9210324205999466,0.8011049723756906,0.7124842032771138
olmo_3_1125_32b@step686842,0.2565217391304348,0.6655290102389079,0.8884680134680135,0.8593469151460252,0.8021228203184231,0.8296156144194383,0.6686,0.4859305259072385,0.595,0.7597229328065864,0.823721436343852,0.5634595701125895,0.940732067533976,0.8066298342541437,0.7103857485485449
mistral_small_3.1_24b,0.25217391304347825,0.6774744027303754,0.88510101010101,0.7290769557466279,0.7831690674753601,0.8590918143796057,0.7359,0.48981176013972444,0.619125,0.826044021759873,0.8411316648531012,0.4749232343909928,0.924935060995208,0.8168902920284136,0.7082034426888407
trinity_large,0.25217391304347825,0.7081911262798635,0.9078282828282829,0.11643357478027627,0.8923426838514026,0.9022107149970126,0.7863,0.524160683097225,0.7666000000000001,0.8453158838375061,0.8754080522306855,0.5573183213920164,0.9558721083403781,0.8078137332280979,0.7069977912790161
qwen3_14b,0.22608695652173913,0.6928327645051194,0.8956228956228957,0.7055716280592715,0.8294162244124337,0.8251344353714399,0.6441,0.49039394527459734,0.6989375,0.8263803643193474,0.8275299238302503,0.5307062436028659,0.896489567078598,0.7900552486187845,0.7056612640869532
olmo_3_1125_32b_ingredient1@step671000,0.24347826086956523,0.6527303754266212,0.8876262626262627,0.8775304979740215,0.8847611827141774,0.8241386178052181,0.5995,0.48360178536774695,0.5595999999999999,0.7466613124736093,0.8258977149075082,0.5578300921187308,0.9131817729978735,0.7955801104972375,0.7037227132698981
olmo_3_1125_32b@step682842,0.24782608695652175,0.6655290102389079,0.890993265993266,0.8198615946243882,0.8142532221379833,0.8263294164509062,0.6493,0.49951484572093924,0.5882000000000001,0.7481799706420555,0.8188248095756256,0.5440122824974412,0.9396542606905499,0.7940015785319653,0.7033200245757536
olmo_3_1125_32b_ingredient2@step671000,0.2,0.6544368600682594,0.8926767676767676,0.865217168144113,0.8483699772554966,0.8298147779326828,0.645,0.4804967979817582,0.6015999999999999,0.7420204210902778,0.8248095756256801,0.5424769703172978,0.9081629138068475,0.7932123125493291,0.702021038746322
olmo_3_1125_32b@step684842,0.2391304347826087,0.6732081911262798,0.8918350168350169,0.811786283446558,0.8172858225928734,0.8242381995618403,0.6543,0.4649718610518145,0.5684,0.75703663794758,0.8144722524483133,0.5578300921187308,0.9390162226866963,0.8074191002367798,0.7014950082025067
ministral_3_14b,0.2217391304347826,0.6825938566552902,0.8985690235690236,0.7972648552425815,0.8400303260045489,0.8217486556462856,0.6745,0.48282553852124976,0.58825,0.8167373275149613,0.8286180631120783,0.48464687819856705,0.9100708620603133,0.7640094711917916,0.7008288562965339
olmo_3_1125_32b@step680842,0.21739130434782608,0.658703071672355,0.8821548821548821,0.8906368470494607,0.8059135708870356,0.8251344353714399,0.6552,0.46031437997283137,0.5708,0.7472668684592473,0.8215451577801959,0.5399181166837257,0.9260883107714328,0.7924230465666929,0.699534999408366
qwen3_30b_a3b,0.24347826086956523,0.6732081911262798,0.890993265993266,0.5579131122779086,0.868081880212282,0.8221469826727743,0.6448,0.47952648942363674,0.7359375,0.8328772481233242,0.8182807399347116,0.5388945752302968,0.8451414119943768,0.7837411207576953,0.6953586270440083
olmo_3_1125_32b_ingredient2@step666000,0.19130434782608696,0.658703071672355,0.8867845117845118,0.8570484749006105,0.8392721758908264,0.8153754232224656,0.5779,0.4859305259072385,0.5582,0.7322624095527055,0.8286180631120783,0.5148413510747185,0.9174217302481841,0.7947908445146015,0.6898894949790274
ministral_3_8b,0.2782608695652174,0.659556313993174,0.8863636363636364,0.803789526057052,0.8112206216830933,0.8040231029675363,0.6345,0.4723462060935377,0.58525,0.7931742464340288,0.8182807399347116,0.4467758444216991,0.9093721714929689,0.755327545382794,0.6898743445992466
qwen3_8b,0.20434782608695654,0.6732081911262798,0.8817340067340067,0.7279078014117513,0.8392721758908264,0.7994423421629158,0.5834,0.476421502037648,0.682,0.7925444041155121,0.8204570184983678,0.5235414534288638,0.8913226316165933,0.7474348855564326,0.6887881599047251
mimo_v2_flash,0.23043478260869565,0.7389078498293515,0.9057239057239057,0.14050300585883038,,0.8807010555666202,0.7568,0.5068891907626625,0.7996000000000001,0.8785282839806572,0.8694232861806311,0.5414534288638689,0.8619686932911205,0.8404367271770586,0.6885669392187233
olmo_3_1125_32b_ingredient1@step666000,0.2217391304347826,0.621160409556314,0.8737373737373737,0.8813073097960964,0.8339651250947687,0.8131846245767775,0.57,0.46671841645643314,0.534,0.7312313948479735,0.8215451577801959,0.5388945752302968,0.9139104239112414,0.7821625887924231,0.6859683235867625
gemma3_27b,0.2391304347826087,0.6945392491467577,0.9074074074074074,0.13396739671976746,0.7975739196360879,0.8570005974905397,0.7462,0.6365224141276926,0.66675,0.8059567600697126,0.8487486398258978,0.5071647901740021,0.9235802487073254,0.823993685872139,0.6848953959971384
olmo_3_1125_32b_ingredient2@step661000,0.2,0.6476109215017065,0.8888888888888888,0.8742722964600158,0.8362395754359363,0.8089026090420235,0.6081,0.46730060159130604,0.49739999999999995,0.7053025443306808,0.8079434167573449,0.5291709314227226,0.9160216065616588,0.7947908445146015,0.6844245883219203
olmo_3_1125_32b@step656000,0.20869565217391303,0.6766211604095563,0.8884680134680135,0.8430904489408836,0.686125852918878,0.8377813184624576,0.6848,0.49990296914418786,0.5085,0.7319649146094243,0.8193688792165397,0.4907881269191402,0.8914141636958183,0.8011049723756906,0.6834733194524645
qwen35_35b_a3b,0.24347826086956523,0.697098976109215,0.8707912457912458,0.1554729430946491,0.8248673237300985,0.8500298745269866,0.6753,0.6242965262953619,0.657875,0.8543288158267627,0.8487486398258978,0.503582395087001,0.8944257176486295,0.7995264404104183,0.6785587256582737
olmo_3_1125_32b_ingredient1@step657000,0.2391304347826087,0.6356655290102389,0.8817340067340067,0.8584666558692122,0.8021228203184231,0.8132842063333997,0.5471,0.4638074907820687,0.5074000000000001,0.6908924951113521,0.8171926006528836,0.5199590583418628,0.9093781511957556,0.8018942383583267,0.6777162633921527
olmo_3_1125_32b_ingredient1@step661000,0.21304347826086956,0.643344709897611,0.8779461279461279,0.8468689559737906,0.8271417740712661,0.8043218482374029,0.5228,0.4669124781680574,0.5408,0.7159638305399044,0.8106637649619152,0.5204708290685772,0.9101229209037157,0.7790055248618785,0.677100445920794
olmo_3_1125_32b@step600000,0.20434782608695654,0.6732081911262798,0.8783670033670034,0.828879456238546,0.6944655041698257,0.8213503286197968,0.6813,0.4766155637492723,0.4769375,0.7220844556615179,0.823177366702938,0.4795291709314227,0.892306350334643,0.8050513022888713,0.6755442870912196
apertus_70b@step1155828,0.1956521739130435,0.6254266211604096,0.8636363636363636,0.8666747315546668,0.6520090978013646,0.847042421828321,0.7029,0.47758587230739374,0.4150625,0.7106977759478761,0.85310119695321,0.5271238485158649,0.9086293725427953,0.7892659826361483,0.6739148541998184
olmo_hybrid_7b@step1437920,0.2217391304347826,0.636518771331058,0.8695286195286195,0.8202266454358738,0.796057619408643,0.758514240191197,0.5646,0.6081894042305453,0.4534,0.7132675752261174,0.8150163220892275,0.5,0.9042959036984687,0.7616416732438832,0.6730711360584583
apertus_70b@step1100000,0.21739130434782608,0.6245733788395904,0.8695286195286195,0.8626786975131784,0.6330553449583017,0.8463453495319657,0.7012,0.4793324277120124,0.401375,0.7094332832182606,0.8492927094668118,0.5286591606960082,0.9099146259337393,0.7892659826361483,0.6730032774558901
olmo_3_1125_32b_ingredient2@step657000,0.2217391304347826,0.6271331058020477,0.8796296296296297,0.8585359159497701,0.8028809704321456,0.8152758414658434,0.5501,0.47797399573064236,0.4676,0.6884323154787744,0.8073993471164309,0.5199590583418628,0.9058804670495681,0.7829518547750592,0.6718208308718969
apertus_70b@step1000000,0.24782608695652175,0.6382252559726962,0.8678451178451179,0.8224017413997982,0.6072782410917361,0.8525194184425413,0.7035,0.4977682903163206,0.3888125,0.7066377043821973,0.8509249183895539,0.4969293756397134,0.8832401960689116,0.8003157063930545,0.6688731823498688
olmo_hybrid_7b_ingredient2@step1437920,0.24782608695652175,0.6305460750853242,0.8678451178451179,0.8021539341305686,0.7680060652009097,0.7576180043815973,0.536,0.6045022317096836,0.45159999999999995,0.7106770740978838,0.8128400435255713,0.5046059365404298,0.903106671875559,0.7411207576953434,0.6670319999317508
olmo_hybrid_7b_ingredient2@step1434078,0.25217391304347825,0.6194539249146758,0.86489898989899,0.8078940483473711,0.7528430629264594,0.7511451902011551,0.5444,0.5971278866679605,0.45999999999999996,0.7038481395916394,0.8063112078346029,0.5076765609007164,0.9020135379691817,0.7458563535911602,0.6654030582776708
olmo_hybrid_7b_ingredient2@step1437078,0.2391304347826087,0.6245733788395904,0.8674242424242424,0.8035052795117912,0.7702805155420773,0.7575184226249752,0.5336,0.6013972443236949,0.44880000000000003,0.7105016843918814,0.808487486398259,0.5010235414534289,0.9044668838630673,0.7434885556432518,0.6652998335570619
